,Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
1369,1369,BTZ-Neutral-wb97xd-962,CCOCN(C(C)=O)c1c(C#N)c(N(C)C)c(OC(F)(F)F)c2nsnc12,2.28663368,-8.0152497,-0.7888179,401.45
236,236,BTZ-Neutral-wb97xd-1236,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C)c(OC)c2nsnc12,2.02231574,-8.4772755,-0.636714,345.89
1142,1142,BTZ-Neutral-wb97xd-734,CCOCN(C(C)=O)c1c(C)c(C#N)c(Br)c2nsnc12,2.31038801,-8.807877,-0.78909,338.49
491,491,BTZ-Neutral-wb97xd-1536,COc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC(F)(F)F,2.51185085,-9.2201085,-0.56414493,321.63
1317,1317,BTZ-Neutral-wb97xd-910,CCOCN(C(C)=O)c1c(C#N)c(C#N)c(Br)c2nsnc12,2.64471728,-9.2114013,-0.88070607,337.71
1358,1358,BTZ-Neutral-wb97xd-951,CCOCN(C(C)=O)c1c(C#N)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.7378299,-9.079977,-0.61913634,341.57
755,755,BTZ-Neutral-wb97xd-1755,COc1c(N(C)C)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,1.90368014,-7.7624688,-0.63674121,388.78
75,75,BTZ-Neutral-wb97xd-1075,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(Br)c2nsnc12,2.44496867,-8.8277403,-0.62218386,341.3
632,632,BTZ-Neutral-wb97xd-1632,COc1c(OC(F)(F)F)c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.5487204,-8.7273354,-0.59538201,360.54
700,700,BTZ-Neutral-wb97xd-1700,COc1c(C#N)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.41364996,-8.4944178,-0.54885291,379.91
1204,1204,BTZ-Neutral-wb97xd-796,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C)c(OC)c2nsnc12,1.99031678,-8.6669292,-0.76016577,332.4
1127,1127,BTZ-Neutral-wb97xd-719,CCOCN(C(C)=O)c1c(C)c(C(F)(F)F)c(OC)c2nsnc12,1.96498427,-8.3817684,-0.79442316,348.54
693,693,BTZ-Neutral-wb97xd-1693,COc1c(C(F)(F)F)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.8058549,-9.1811982,-0.5817498,327.76
961,961,BTZ-Neutral-wb97xd-1961,CC(=O)N(c1c(SC(F)(F)F)c(C#N)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,3.04644572,-9.8059398,-0.51965658,318.37
495,495,BTZ-Neutral-wb97xd-1450,COc1c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,1.75130414,-7.3447953,-0.62251038,434.73
1279,1279,BTZ-Neutral-wb97xd-871,CCOCN(C(C)=O)c1c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2nsnc12,2.30870099,-8.0887167,-0.69842628,394.2
111,111,BTZ-Neutral-wb97xd-1111,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.37724298,-8.9773953,-0.92688144,325.91
860,860,BTZ-Neutral-wb97xd-1860,CSc1c(C(F)(F)F)c(C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.24987297,-8.7061116,-0.53347926,323.87
528,528,BTZ-Neutral-wb97xd-1483,CC(=O)N(c1c(C)c(SC(F)(F)F)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.07121211,-7.72764,-0.61769421,409.45
680,680,BTZ-Neutral-wb97xd-1680,COc1c(C)c(Br)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.04337628,-8.7354984,-0.59146377,325.07
1109,1109,BTZ-Neutral-wb97xd-2109,CC(=O)N(c1c(N(C)C)c(N(C)C)c(Br)c2nsnc12)C(F)(F)C(F)(F)F,1.921802,-7.5475098,-0.5763078,387.22
598,598,BTZ-Neutral-wb97xd-1598,CC(=O)N(c1c(C#N)c(C(F)(F)F)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,3.1032602,-9.7996815,-0.62934009,315.3
493,493,BTZ-Neutral-wb97xd-1538,COc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,2.05679081,-7.4520027,-0.51448668,450.34
267,267,BTZ-Neutral-wb97xd-1267,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(OC)c(C(F)(F)F)c2nsnc12,2.3892698,-9.0097752,-0.74996202,321.24
766,766,BTZ-Neutral-wb97xd-1766,CSc1c(C)c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.0875109,-8.3850336,-0.45538656,358.59
857,857,BTZ-Neutral-wb97xd-1857,CSc1c(C)c(N(C)C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,1.97219492,-7.414725,-0.63151689,439.89
414,414,BTZ-Neutral-wb97xd-1414,CSc1c(C)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.87070162,-8.2685748,-0.60822513,350.8
1180,1180,BTZ-Neutral-wb97xd-772,CCOCN(C(C)=O)c1c(C)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12,2.35011461,-8.9953539,-0.62846937,330.02
115,115,BTZ-Neutral-wb97xd-1115,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(OC)c2nsnc12,2.04421979,-8.084091,-0.71257548,371.39
1220,1220,BTZ-Neutral-wb97xd-812,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C(F)(F)F)c(N(C)C)c2nsnc12,2.25000902,-7.8593364,-0.77009742,409.27
446,446,BTZ-Neutral-wb97xd-1446,COc1c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1OC(F)(F)F,1.98065723,-8.9607972,-0.54675774,309.99
142,142,BTZ-Neutral-wb97xd-1142,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(N(C)C)c2nsnc12,1.8559538,-7.2490161,-0.61769421,443.6
386,386,BTZ-Neutral-wb97xd-1386,CCOCN(C(C)=O)c1c(N(C)C)c(SC)c(S(=O)(=O)N(C)C)c2nsnc12,1.98694274,-7.8021954,-1.07566572,400.36
1133,1133,BTZ-Neutral-wb97xd-725,CCOCN(C(C)=O)c1c(C)c(C(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.5506251,-9.1488183,-0.71129661,323.7
859,859,BTZ-Neutral-wb97xd-1859,CSc1c(C)c(S(=O)(=O)N(C)C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.31972104,-8.5695174,-0.8930322,350.67
940,940,BTZ-Neutral-wb97xd-1940,COc1c(C)c(SC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.18897699,-8.4636705,-0.40254474,359.2
108,108,BTZ-Neutral-wb97xd-1108,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(Br)c2nsnc12,2.29144985,-8.8846092,-0.62640141,332.19
177,177,BTZ-Neutral-wb97xd-1177,CCOCN(C(C)=O)c1c(SC)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,2.58194381,-8.587476,-1.05974787,365.62
1373,1373,BTZ-Neutral-wb97xd-966,CCOCN(C(C)=O)c1c(C#N)c(N(C)C)c(N(C)C)c2nsnc12,2.13910106,-7.3072455,-0.86013531,479.2
927,927,BTZ-Neutral-wb97xd-1927,CSc1c(N(C)C)c(C(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.3133539,-8.1189198,-0.62177571,414.12
817,817,BTZ-Neutral-wb97xd-1817,CSc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C(F)(F)F,2.53721057,-8.7703272,-0.55946481,352.31
536,536,BTZ-Neutral-wb97xd-1491,CSc1c(N(C)C)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.9079249,-7.7455986,-0.63674121,389.79
498,498,BTZ-Neutral-wb97xd-1453,CC(=O)N(c1c(C)c(OC(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,1.95820898,-8.9039283,-0.42491136,311.42
1036,1036,BTZ-Neutral-wb97xd-2036,CC(=O)N(c1c(N(C)C)c(C(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.03768939,-7.7758017,-0.5676006,397.25
759,759,BTZ-Neutral-wb97xd-1759,COc1c(N(C)C)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.27558642,-8.0941587,-0.68465802,409.99
589,589,BTZ-Neutral-wb97xd-1589,CC(=O)N(c1c(C#N)c(C)c(OC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.51263994,-9.3256833,-0.5899128,318.84
572,572,BTZ-Neutral-wb97xd-1572,CC(=O)N(c1c(C(F)(F)F)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12)C(F)(F)C(F)(F)F,2.90645027,-9.8913792,-0.4451556,312.96
804,804,BTZ-Neutral-wb97xd-1804,COc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1S(=O)(=O)N(C)C,2.33765243,-9.0813375,-0.69399105,303.55
283,283,BTZ-Neutral-wb97xd-1283,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.51236784,-9.1490904,-0.5942664,326.09
969,969,BTZ-Neutral-wb97xd-1969,CC(=O)N(c1c(SC(F)(F)F)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.92239533,-9.3009222,-0.88878744,330.84
382,382,BTZ-Neutral-wb97xd-1382,CCOCN(C(C)=O)c1c(N(C)C)c(SC)c(SC(F)(F)F)c2nsnc12,2.11300667,-7.6933554,-0.70977285,414.16
408,408,BTZ-Neutral-wb97xd-1408,CCOCN(C(C)=O)c1c(N(C)C)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,1.74588935,-7.5355374,-1.09188288,393.97
91,91,BTZ-Neutral-wb97xd-1091,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C(F)(F)F)c2nsnc12,2.24930156,-8.9939934,-0.57660711,318.13
48,48,BTZ-Neutral-wb97xd-1048,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C#N)c2nsnc12,1.99034399,-7.787502,-0.92799705,383.51
159,159,BTZ-Neutral-wb97xd-1159,CCOCN(C(C)=O)c1c(SC)c(C(F)(F)F)c(OC)c2nsnc12,2.11142849,-8.4361884,-0.64550283,340.26
503,503,BTZ-Neutral-wb97xd-1458,CSc1c(OC(F)(F)F)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.07638201,-8.4819012,-0.47067858,350.53
782,782,BTZ-Neutral-wb97xd-1782,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.68958657,-9.3858174,-0.68177376,309.39
525,525,BTZ-Neutral-wb97xd-1480,CSc1c(SC(F)(F)F)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.183018,-8.3393208,-0.4794402,382.55
807,807,BTZ-Neutral-wb97xd-1807,CC(=O)N(c1c(OC(F)(F)F)c(OC(F)(F)F)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.81535119,-9.640503,-0.45661101,313.06
726,726,BTZ-Neutral-wb97xd-1726,COc1c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.73717686,-9.4660869,-0.5784846,326.86
1400,1400,BTZ-Neutral-wb97xd-993,CCOCN(C(C)=O)c1c(OC)c(C#N)c(C#N)c2nsnc12,2.68419899,-9.1060986,-1.01319156,348.32
330,330,BTZ-Neutral-wb97xd-1330,CCOCN(C(C)=O)c1c(N(C)C)c(C)c([N+](=O)[O-])c2nsnc12,2.20320782,-7.8087258,-0.78400173,416.8
529,529,BTZ-Neutral-wb97xd-1484,CC(=O)N(c1c(C)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12)C(F)(F)C(F)(F)F,2.69584487,-9.3885384,-0.61597998,323.09
620,620,BTZ-Neutral-wb97xd-1620,COc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C#N,2.88016541,-9.5093508,-0.70843956,327.24
815,815,BTZ-Neutral-wb97xd-1815,CC(=O)N(c1c(OC(F)(F)F)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.59582091,-9.3066363,-0.79768836,310.01
1006,1006,BTZ-Neutral-wb97xd-2006,COc1c(SC(F)(F)F)c(SC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.30766701,-8.6851599,-0.54784614,349.13
752,752,BTZ-Neutral-wb97xd-1752,COc1c(N(C)C)c(C#N)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.10772793,-8.0089914,-0.68367846,388.36
902,902,BTZ-Neutral-wb97xd-1902,CSc1c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.72463305,-8.9542668,-0.49048746,348.17
1218,1218,BTZ-Neutral-wb97xd-810,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.63424143,-9.0895005,-0.56898831,331.44
1242,1242,BTZ-Neutral-wb97xd-834,CCOCN(C(C)=O)c1c(C(F)(F)F)c(OC)c(N(C)C)c2nsnc12,2.05042367,-7.3880592,-0.70073913,452.12
259,259,BTZ-Neutral-wb97xd-1259,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C#N)c(OC(F)(F)F)c2nsnc12,2.64381935,-9.2609235,-0.65480865,321.82
