,Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
782,782,BTZ-Neutral-wb97xd-1782,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.68958657,-9.3858174,-0.68177376,309.39
1362,1362,BTZ-Neutral-wb97xd-955,CCOCN(C(C)=O)c1c(C#N)c(SC(F)(F)F)c(N(C)C)c2nsnc12,2.31531302,-7.8397452,-0.85839387,424.15
383,383,BTZ-Neutral-wb97xd-1383,CCOCN(C(C)=O)c1c(N(C)C)c(SC)c(Br)c2nsnc12,1.87562663,-7.656894,-0.80691255,389.71
860,860,BTZ-Neutral-wb97xd-1860,CSc1c(C(F)(F)F)c(C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.24987297,-8.7061116,-0.53347926,323.87
403,403,BTZ-Neutral-wb97xd-1403,CCOCN(C(C)=O)c1c(N(C)C)c(N(C)C)c(SC)c2nsnc12,1.67737457,-7.3943175,-0.91156221,381.72
761,761,BTZ-Neutral-wb97xd-1761,CC(=O)N(c1c(OC(F)(F)F)c(C)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.05926692,-8.7771297,-0.53361531,327.02
969,969,BTZ-Neutral-wb97xd-1969,CC(=O)N(c1c(SC(F)(F)F)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.92239533,-9.3009222,-0.88878744,330.84
12,12,BTZ-Neutral-wb97xd-1012,CCOCN(C(C)=O)c1c(OC)c(OC)c(S(=O)(=O)N(C)C)c2nsnc12,1.9022108,-8.6410797,-1.11596373,320.18
912,912,BTZ-Neutral-wb97xd-1912,CSc1c(SC)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,1.96955555,-7.3635702,-0.60539529,441.01
561,561,BTZ-Neutral-wb97xd-1561,CSc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1[N+](=O)[O-],2.62986062,-9.1188873,-0.58463406,327.48
987,987,BTZ-Neutral-wb97xd-1987,CC(=O)N(c1c(SC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.7685772,-9.6707061,-0.4470603,308.82
478,478,BTZ-Neutral-wb97xd-1523,CC(=O)N(c1c(C(F)(F)F)c(C#N)c(OC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.73818363,-9.6973719,-0.44700588,303.32
1204,1204,BTZ-Neutral-wb97xd-796,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C)c(OC)c2nsnc12,1.99031678,-8.6669292,-0.76016577,332.4
236,236,BTZ-Neutral-wb97xd-1236,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C)c(OC)c2nsnc12,2.02231574,-8.4772755,-0.636714,345.89
898,898,BTZ-Neutral-wb97xd-1898,CSc1c(OC(F)(F)F)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.24214533,-8.4906084,-0.47568522,360.23
262,262,BTZ-Neutral-wb97xd-1262,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C#N)c(Br)c2nsnc12,2.6298062,-8.9526342,-0.65265906,346.81
1279,1279,BTZ-Neutral-wb97xd-871,CCOCN(C(C)=O)c1c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2nsnc12,2.30870099,-8.0887167,-0.69842628,394.2
1322,1322,BTZ-Neutral-wb97xd-915,CCOCN(C(C)=O)c1c(C#N)c(OC)c(C(F)(F)F)c2nsnc12,2.43626147,-9.2775216,-0.76476426,319.93
390,390,BTZ-Neutral-wb97xd-1390,CCOCN(C(C)=O)c1c(N(C)C)c(SC(F)(F)F)c(OC)c2nsnc12,1.89110912,-7.6411122,-0.72481998,385.44
725,725,BTZ-Neutral-wb97xd-1725,COc1c(OC(F)(F)F)c(N(C)C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,1.85339606,-7.6212489,-0.47930415,407.69
1231,1231,BTZ-Neutral-wb97xd-823,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C#N)c(N(C)C)c2nsnc12,2.18786138,-7.8702204,-0.86897856,400.86
49,49,BTZ-Neutral-wb97xd-1049,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(OC)c2nsnc12,1.70814908,-7.5423399,-0.67597803,387.29
1292,1292,BTZ-Neutral-wb97xd-885,CCOCN(C(C)=O)c1c(C#N)c(C)c(OC(F)(F)F)c2nsnc12,2.29387154,-9.0829701,-0.71578626,322.76
1375,1375,BTZ-Neutral-wb97xd-968,CCOCN(C(C)=O)c1c(C#N)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,2.28320522,-8.0084472,-1.04951691,408.76
382,382,BTZ-Neutral-wb97xd-1382,CCOCN(C(C)=O)c1c(N(C)C)c(SC)c(SC(F)(F)F)c2nsnc12,2.11300667,-7.6933554,-0.70977285,414.16
1162,1162,BTZ-Neutral-wb97xd-754,CCOCN(C(C)=O)c1c(C)c(OC(F)(F)F)c(SC)c2nsnc12,2.02332251,-8.3651703,-0.64833267,356.18
529,529,BTZ-Neutral-wb97xd-1484,CC(=O)N(c1c(C)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12)C(F)(F)C(F)(F)F,2.69584487,-9.3885384,-0.61597998,323.09
321,321,BTZ-Neutral-wb97xd-1321,CCOCN(C(C)=O)c1c(N(C)C)c(C)c(C)c2nsnc12,1.63933499,-7.5836991,-0.6761685,371.15
698,698,BTZ-Neutral-wb97xd-1698,COc1c(C#N)c(OC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.18152145,-8.4519702,-0.5790288,355.23
1296,1296,BTZ-Neutral-wb97xd-889,CCOCN(C(C)=O)c1c(C#N)c(C)c(N(C)C)c2nsnc12,2.12541443,-7.714035,-0.83273484,427.32
537,537,BTZ-Neutral-wb97xd-1492,CC(=O)N(c1c(C)c(N(C)C)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.07379706,-7.8511734,-0.631272,393.14
528,528,BTZ-Neutral-wb97xd-1483,CC(=O)N(c1c(C)c(SC(F)(F)F)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.07121211,-7.72764,-0.61769421,409.45
644,644,BTZ-Neutral-wb97xd-1644,CSc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1OC(F)(F)F,2.65149257,-8.9594367,-0.45952248,334.15
927,927,BTZ-Neutral-wb97xd-1927,CSc1c(N(C)C)c(C(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.3133539,-8.1189198,-0.62177571,414.12
1380,1380,BTZ-Neutral-wb97xd-973,CCOCN(C(C)=O)c1c(OC)c(C)c(OC(F)(F)F)c2nsnc12,1.96982765,-8.6655687,-0.64724427,325.64
718,718,BTZ-Neutral-wb97xd-1718,COc1c(OC(F)(F)F)c(C(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.4562064,-9.3773823,-0.47957625,305.48
414,414,BTZ-Neutral-wb97xd-1414,CSc1c(C)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.87070162,-8.2685748,-0.60822513,350.8
577,577,BTZ-Neutral-wb97xd-1577,COc1c(N(C)C)c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.24851247,-8.1991893,-0.57282492,362.3
587,587,BTZ-Neutral-wb97xd-1587,CC(=O)N(c1c(C#N)c(C)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.83766339,-9.4660869,-0.70136496,323.38
759,759,BTZ-Neutral-wb97xd-1759,COc1c(N(C)C)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.27558642,-8.0941587,-0.68465802,409.99
764,764,BTZ-Neutral-wb97xd-1764,COc1c(C)c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.97137862,-8.2274877,-0.39908907,362.44
27,27,BTZ-Neutral-wb97xd-1027,CCOCN(C(C)=O)c1c(OC)c(SC)c(OC)c2nsnc12,1.8665657,-7.9611018,-0.70697022,369.51
460,460,BTZ-Neutral-wb97xd-1505,CC(=O)N(c1c(C(F)(F)F)c(C)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.14511447,-7.5826107,-0.58632108,441.83
1207,1207,BTZ-Neutral-wb97xd-799,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C)c(SC(F)(F)F)c2nsnc12,2.25708362,-9.1311318,-0.67244073,317.94
774,774,BTZ-Neutral-wb97xd-1774,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.94073487,-9.5811852,-0.45500562,329.06
48,48,BTZ-Neutral-wb97xd-1048,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C#N)c2nsnc12,1.99034399,-7.787502,-0.92799705,383.51
1400,1400,BTZ-Neutral-wb97xd-993,CCOCN(C(C)=O)c1c(OC)c(C#N)c(C#N)c2nsnc12,2.68419899,-9.1060986,-1.01319156,348.32
780,780,BTZ-Neutral-wb97xd-1780,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.40839843,-8.4916968,-0.54439047,423.86
204,204,BTZ-Neutral-wb97xd-1204,CCOCN(C(C)=O)c1c(SC)c(SC)c(OC(F)(F)F)c2nsnc12,2.19507203,-8.3458512,-0.61687791,345.39
75,75,BTZ-Neutral-wb97xd-1075,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(Br)c2nsnc12,2.44496867,-8.8277403,-0.62218386,341.3
536,536,BTZ-Neutral-wb97xd-1491,CSc1c(N(C)C)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.9079249,-7.7455986,-0.63674121,389.79
1208,1208,BTZ-Neutral-wb97xd-800,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C)c(Br)c2nsnc12,2.24938319,-8.7569943,-0.63298623,330.88
613,613,BTZ-Neutral-wb97xd-1613,CC(=O)N(c1c(C#N)c(C#N)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.94506126,-9.8233542,-0.53015964,312.24
1036,1036,BTZ-Neutral-wb97xd-2036,CC(=O)N(c1c(N(C)C)c(C(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.03768939,-7.7758017,-0.5676006,397.25
926,926,BTZ-Neutral-wb97xd-1926,CSc1c(N(C)C)c(C)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,1.89829256,-7.735803,-0.62553069,386.38
1226,1226,BTZ-Neutral-wb97xd-818,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C#N)c(OC)c2nsnc12,2.24249906,-8.603802,-0.82459905,342.87
786,786,BTZ-Neutral-wb97xd-1786,COc1c(C#N)c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.33939387,-8.8037955,-0.5202552,337.47
817,817,BTZ-Neutral-wb97xd-1817,CSc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C(F)(F)F,2.53721057,-8.7703272,-0.55946481,352.31
98,98,BTZ-Neutral-wb97xd-1098,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(N(C)C)c2nsnc12,1.86313724,-7.6141743,-0.75437004,408.66
239,239,BTZ-Neutral-wb97xd-1239,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C)c(SC(F)(F)F)c2nsnc12,2.32048292,-9.0407946,-0.65469981,317.28
1020,1020,BTZ-Neutral-wb97xd-2020,CC(=O)N(c1c(SC(F)(F)F)c(N(C)C)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.47013792,-8.2163316,-0.52294899,397.39
1294,1294,BTZ-Neutral-wb97xd-887,CCOCN(C(C)=O)c1c(C#N)c(C)c(SC(F)(F)F)c2nsnc12,2.41609886,-9.0960309,-0.78100863,330.05
731,731,BTZ-Neutral-wb97xd-1731,COc1c(SC)c(OC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.02264226,-8.0111682,-0.61524531,369.03
3,3,BTZ-Neutral-wb97xd-1003,CCOCN(C(C)=O)c1c(OC)c(OC)c(C(F)(F)F)c2nsnc12,1.93246832,-8.7458382,-0.73733658,319.72
404,404,BTZ-Neutral-wb97xd-1404,CCOCN(C(C)=O)c1c(N(C)C)c(N(C)C)c(SC(F)(F)F)c2nsnc12,1.8548654,-7.4887362,-0.87686946,392.52
302,302,BTZ-Neutral-wb97xd-1302,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(SC(F)(F)F)c(OC)c2nsnc12,2.25139673,-8.4239439,-0.59306916,363.06
625,625,BTZ-Neutral-wb97xd-1625,COc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1Br,2.54912855,-9.0677325,-0.50724882,334.03
1091,1091,BTZ-Neutral-wb97xd-2091,CC(=O)N(c1c(N(C)C)c(SC(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.02212527,-8.0914377,-0.43051662,366.57
1183,1183,BTZ-Neutral-wb97xd-775,CCOCN(C(C)=O)c1c(C)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.17817462,-8.8886907,-0.73769031,324.81
258,258,BTZ-Neutral-wb97xd-1258,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C#N)c(OC)c2nsnc12,2.38244009,-8.5703337,-0.80721186,351.84
920,920,BTZ-Neutral-wb97xd-1920,CSc1c(SC(F)(F)F)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.38333802,-8.3504769,-0.54025455,396.78
131,131,BTZ-Neutral-wb97xd-1131,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(N(C)C)c2nsnc12,2.03396162,-7.7148513,-0.63012918,413.67
573,573,BTZ-Neutral-wb97xd-1573,CC(=O)N(c1c(C(F)(F)F)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.59274618,-9.3958851,-0.68781438,301.95
1145,1145,BTZ-Neutral-wb97xd-737,CCOCN(C(C)=O)c1c(C)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,2.56333217,-8.9569878,-1.00208988,336.68
51,51,BTZ-Neutral-wb97xd-1051,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC)c2nsnc12,1.72406693,-7.4438397,-0.80059983,405.26
1114,1114,BTZ-Neutral-wb97xd-706,CCOCN(C(C)=O)c1c(C)c(C)c(C(F)(F)F)c2nsnc12,1.96362377,-8.8492362,-0.7115415,311.08
348,348,BTZ-Neutral-wb97xd-1348,CCOCN(C(C)=O)c1c(N(C)C)c(C#N)c(SC)c2nsnc12,2.22200993,-8.0449086,-0.79113075,398.77
142,142,BTZ-Neutral-wb97xd-1142,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(N(C)C)c2nsnc12,1.8559538,-7.2490161,-0.61769421,443.6
58,58,BTZ-Neutral-wb97xd-1058,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C(F)(F)F)c2nsnc12,2.14677428,-9.0543996,-0.62319063,312.38
866,866,BTZ-Neutral-wb97xd-1866,CSc1c(C(F)(F)F)c(SC(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.59440599,-8.590197,-0.45473352,367.13
1092,1092,BTZ-Neutral-wb97xd-2092,CC(=O)N(c1c(N(C)C)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.43541796,-8.1186477,-0.45791709,399.44
37,37,BTZ-Neutral-wb97xd-1037,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C#N)c2nsnc12,2.51840846,-8.7608037,-0.70362339,363.69
108,108,BTZ-Neutral-wb97xd-1108,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(Br)c2nsnc12,2.29144985,-8.8846092,-0.62640141,332.19
772,772,BTZ-Neutral-wb97xd-1772,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.39180033,-9.2707191,-0.48697737,310.42
719,719,BTZ-Neutral-wb97xd-1719,COc1c(OC(F)(F)F)c(C#N)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.56466546,-9.1790214,-0.58787205,327.81
426,426,BTZ-Neutral-wb97xd-1426,CC(=O)N(c1c(C)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.51783705,-9.2693586,-0.5110038,319.81
823,823,BTZ-Neutral-wb97xd-1823,CSc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1Br,2.34407399,-8.6416239,-0.56338305,344.7
163,163,BTZ-Neutral-wb97xd-1163,CCOCN(C(C)=O)c1c(SC)c(C(F)(F)F)c(Br)c2nsnc12,2.30695955,-8.4555075,-0.68033163,353.92
961,961,BTZ-Neutral-wb97xd-1961,CC(=O)N(c1c(SC(F)(F)F)c(C#N)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,3.04644572,-9.8059398,-0.51965658,318.37
558,558,BTZ-Neutral-wb97xd-1558,CSc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC(F)(F)F,2.51786426,-8.6816226,-0.45432537,368.03
1197,1197,BTZ-Neutral-wb97xd-789,CCOCN(C(C)=O)c1c(C)c(N(C)C)c(Br)c2nsnc12,1.8464303,-7.7137629,-0.76653291,381.89
778,778,BTZ-Neutral-wb97xd-1778,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.70523232,-9.5898924,-0.32948589,315.45
623,623,BTZ-Neutral-wb97xd-1623,COc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC,2.48031446,-8.2876218,-0.63627864,392.79
1232,1232,BTZ-Neutral-wb97xd-824,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C#N)c([N+](=O)[O-])c2nsnc12,3.04737086,-9.4971063,-0.82960569,332.21
493,493,BTZ-Neutral-wb97xd-1538,COc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,2.05679081,-7.4520027,-0.51448668,450.34
135,135,BTZ-Neutral-wb97xd-1135,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(C(F)(F)F)c2nsnc12,2.20990148,-8.2277598,-0.65478144,383.87
1127,1127,BTZ-Neutral-wb97xd-719,CCOCN(C(C)=O)c1c(C)c(C(F)(F)F)c(OC)c2nsnc12,1.96498427,-8.3817684,-0.79442316,348.54
766,766,BTZ-Neutral-wb97xd-1766,CSc1c(C)c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.0875109,-8.3850336,-0.45538656,358.59
571,571,BTZ-Neutral-wb97xd-1571,CC(=O)N(c1c(C(F)(F)F)c(SC(F)(F)F)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.2611107,-7.9121238,-0.55413165,409.99
231,231,BTZ-Neutral-wb97xd-1231,CCOCN(C(C)=O)c1c(SC)c(N(C)C)c([N+](=O)[O-])c2nsnc12,2.22244529,-8.0245011,-0.92971128,416.75
752,752,BTZ-Neutral-wb97xd-1752,COc1c(N(C)C)c(C#N)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.10772793,-8.0089914,-0.68367846,388.36
598,598,BTZ-Neutral-wb97xd-1598,CC(=O)N(c1c(C#N)c(C(F)(F)F)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,3.1032602,-9.7996815,-0.62934009,315.3
921,921,BTZ-Neutral-wb97xd-1921,CSc1c(SC(F)(F)F)c(SC(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.53027202,-8.5999926,-0.43919661,364.93
707,707,BTZ-Neutral-wb97xd-1707,COc1c(OC)c(C(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.09828606,-9.0192987,-0.51171126,309.28
283,283,BTZ-Neutral-wb97xd-1283,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.51236784,-9.1490904,-0.5942664,326.09
553,553,BTZ-Neutral-wb97xd-1553,CSc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C(F)(F)F,2.62401047,-8.8778067,-0.5420232,348.49
1182,1182,BTZ-Neutral-wb97xd-774,CCOCN(C(C)=O)c1c(C)c(SC(F)(F)F)c(OC)c2nsnc12,1.98977258,-8.1768771,-0.67339308,360.65
1191,1191,BTZ-Neutral-wb97xd-783,CCOCN(C(C)=O)c1c(C)c(N(C)C)c(C(F)(F)F)c2nsnc12,1.99311941,-8.021508,-0.74008479,384.47
1142,1142,BTZ-Neutral-wb97xd-734,CCOCN(C(C)=O)c1c(C)c(C#N)c(Br)c2nsnc12,2.31038801,-8.807877,-0.78909,338.49
1058,1058,BTZ-Neutral-wb97xd-2058,COc1c(N(C)C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C,1.74172622,-7.5962157,-0.58463406,367.35
1021,1021,BTZ-Neutral-wb97xd-2021,CC(=O)N(c1c(SC(F)(F)F)c(N(C)C)c(Br)c2nsnc12)C(F)(F)C(F)(F)F,2.26407659,-8.1080358,-0.45674706,387.73
107,107,BTZ-Neutral-wb97xd-1107,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.49163382,-9.1216083,-0.46695081,312.41
1166,1166,BTZ-Neutral-wb97xd-758,CCOCN(C(C)=O)c1c(C)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.54262536,-9.0930378,-0.73940454,339.92
693,693,BTZ-Neutral-wb97xd-1693,COc1c(C(F)(F)F)c([N+](=O)[O-])c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.8058549,-9.1811982,-0.5817498,327.76
931,931,BTZ-Neutral-wb97xd-1931,CSc1c(N(C)C)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.08089887,-7.6669617,-0.6636519,420.77
19,19,BTZ-Neutral-wb97xd-1019,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.20056845,-9.0451482,-0.8211978,311.39
1198,1198,BTZ-Neutral-wb97xd-790,CCOCN(C(C)=O)c1c(C)c(N(C)C)c(N(C)C)c2nsnc12,1.65087203,-7.6198884,-0.74694171,374.71
1174,1174,BTZ-Neutral-wb97xd-766,CCOCN(C(C)=O)c1c(C)c(SC)c(SC(F)(F)F)c2nsnc12,2.06544359,-8.3428581,-0.77670945,356.03
304,304,BTZ-Neutral-wb97xd-1304,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(SC(F)(F)F)c(SC)c2nsnc12,2.31218387,-8.3006826,-0.66123021,394.96
268,268,BTZ-Neutral-wb97xd-1268,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(OC)c(C#N)c2nsnc12,2.5024634,-8.9254242,-0.74345883,347.13
491,491,BTZ-Neutral-wb97xd-1536,COc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC(F)(F)F,2.51185085,-9.2201085,-0.56414493,321.63
495,495,BTZ-Neutral-wb97xd-1450,COc1c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,1.75130414,-7.3447953,-0.62251038,434.73
198,198,BTZ-Neutral-wb97xd-1198,CCOCN(C(C)=O)c1c(SC)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.54787689,-8.6682897,-0.82748331,360.69
1247,1247,BTZ-Neutral-wb97xd-839,CCOCN(C(C)=O)c1c(C(F)(F)F)c(OC(F)(F)F)c(C#N)c2nsnc12,2.74618337,-9.1349412,-0.67031835,335.22
709,709,BTZ-Neutral-wb97xd-1709,COc1c(OC)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1OC,1.86169511,-8.1997335,-0.62063289,357.79
1172,1172,BTZ-Neutral-wb97xd-764,CCOCN(C(C)=O)c1c(C)c(SC)c(OC(F)(F)F)c2nsnc12,2.08957886,-8.6459775,-0.72345948,324.06
1032,1032,BTZ-Neutral-wb97xd-2032,CC(=O)N(c1c(N(C)C)c(C)c(Br)c2nsnc12)C(F)(F)C(F)(F)F,1.96784132,-7.8413778,-0.61238826,377.98
887,887,BTZ-Neutral-wb97xd-1887,COc1c(SC)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC,2.13110132,-8.4356442,-0.67241352,350.26
